mnemonic,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive
E08000030,33.7,14.6,15.3,3.0,10.8,16.9,5.7,2.9,3.8,1.3,0.4,2.0
E08000031,31.2,14.1,14.9,2.7,10.6,19.5,6.9,2.9,5.6,1.9,0.7,2.9
E07000234,21.3,12.8,15.8,4.1,11.7,30.5,3.7,2.9,2.8,1.2,0.2,1.5
E07000235,20.3,11.2,15.5,3.8,11.4,33.9,3.9,3.2,2.7,1.0,0.1,1.5
E07000236,25.1,15.8,17.0,3.7,12.0,20.7,5.6,2.8,3.3,1.4,0.3,1.5
E07000237,21.3,12.7,14.9,3.9,14.5,27.7,5.0,2.5,6.5,2.6,0.7,3.3
E07000238,22.1,13.1,15.6,4.0,11.6,28.7,4.8,2.6,2.4,1.2,0.1,1.1
E07000239,27.8,14.2,16.1,3.8,11.4,22.1,4.6,2.4,2.4,1.0,0.2,1.2
E06000055,20.4,13.8,15.2,3.9,11.8,28.1,6.8,3.0,5.0,1.9,0.4,2.7
E06000056,19.4,14.9,17.0,4.7,12.6,27.3,4.1,2.9,3.3,1.3,0.2,1.8
E06000032,23.6,14.6,14.5,3.3,11.1,22.3,10.7,3.2,8.6,2.9,1.4,4.2
E06000031,25.0,15.4,16.2,3.5,10.8,20.2,8.9,2.9,3.0,1.3,0.3,1.4
E06000033,24.6,16.4,17.5,3.0,11.4,21.8,5.3,2.7,3.0,1.3,0.3,1.4
E06000034,26.5,18.1,17.5,3.4,10.9,17.4,6.1,2.8,2.8,1.2,0.3,1.2
E07000008,11.9,6.9,8.6,1.9,16.9,47.3,6.4,2.1,23.1,4.1,0.6,18.3
E07000009,20.9,13.1,15.6,4.3,11.4,29.0,5.5,2.6,2.0,1.0,0.2,0.9
